283812509,10062503683,Avenida Jos?Ž Abelardo Qui??ones,12.199
283814466,1252919040,Avenida Emmel,70.738
283814466,5208947860,Avenida Emmel,28.443
283814466,5208947864,Calle Julio Ernesto Portugal,42.645
286866805,286866810,,12.852
286866805,11010994631,Avenida Victor Andr?Žs Bela??nde,50.182
286866805,5693791866,Avenida Victor Andr?Žs Bela??nde,40.026
286866810,11010994632,Avenida Victor Andr?Žs Bela??nde,58.335
287889414,1198315931,,50.574
287889414,1264343694,"['Avenida Miguel Forga', 'Variante Uchumayo']",198.818
287889414,11002056720,Variante Uchumayo,93.722
303567295,11008718139,Avenida San Mart?Ąn,7.432
303567295,303567317,Calle Felipe Santiago Salaverry,9.741
303567295,10920891207,Avenida de la Marina,8.277
303567295,5200768339,Avenida de la Marina,42.127
303567317,11008718138,Avenida de la Marina,7.054
303567317,5203031705,Calle Felipe Santiago Salaverry,5.748
303567317,10920891210,Pasaje Bustamante,8.724
409472812,11013404035,Avenida Juan Vidaurr?ízaga,6.884
409472812,1264365120,Avenida Pedro P. Diaz,11.465
409472812,1253003144,Avenida Juan Vidaurr?ízaga,10.525
409472812,4020778170,Avenida Pedro P. Diaz,8.685
409472813,1252986345,,12.594
409472813,11013403961,Avenida Pedro P. Diaz,97.927
409472813,1253035248,,54.891
409472813,4020778163,Avenida Pedro P. Diaz,17.976
409472815,11013404068,Avenida Pedro P. Diaz,8.689
409472815,1264303693,Los Zafiros,9.131
409472815,5391078854,Los Zafiros,33.2
409472815,11013404091,Avenida Pedro P. Diaz,18.543
409472817,5391078209,Calle Ambrosio Vucetich,128.414
409472817,1264324744,Calle Ambrosio Vucetich,14.69
409472817,4020778158,Avenida Pedro P. Diaz,25.036
409472817,11013403961,Avenida Pedro P. Diaz,23.852
409473092,2087709217,Avenida Arturo Ib?í??ez,9.672
409473092,10779219045,,4.806
409473092,10907229438,Avenida Arturo Ib?í??ez,25.38
461499177,11011286381,Calle Jerusal?Žn,93.459
461499177,10885702045,Calle Santa Marta,2.105
